movie_id,image_seq,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,elapsed_time,gaze,blink,eye_offset
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,91,2.27476,0.0306318,14.9949,4.76802,8.16543,0.970922,68.7954,neutral,86,1,0,19.5787
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,92,4.32456,2.44E-06,3.71496,3.60E-05,90.4187,8.18E-06,1.54175,sad,#N/A,1,0,22.9742
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,93,11.0323,1.36E-06,6.36812,0.00385918,51.5796,0.0196815,30.9964,sad,#N/A,1,0,24.1476
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,94,19.8264,0.000431234,0.196329,0.768515,0.0620354,48.5571,30.5892,surprise,#N/A,1,0,-2.2199
baa26895-85b2-465b-a972-649b41d9870e,0,4.90376,2.43E-05,1.84758,2.55923,48.7913,0.0333273,41.8648,sad,1,#N/A,#N/A,#N/A
baa26895-85b2-465b-a972-649b41d9870e,1,0.179621,0.000185331,0.0552584,93.5664,6.18999,0.00118398,0.00740178,happy,2,0,1,42.3816
baa26895-85b2-465b-a972-649b41d9870e,2,10.1263,0.0870038,6.05707,42.7038,19.8192,15.3609,5.8457,happy,3,0,0,28.1727
baa26895-85b2-465b-a972-649b41d9870e,3,37.3449,0.427457,2.78404,16.5368,35.7319,0.534506,6.64039,angry,4,1,0,-10.0732
baa26895-85b2-465b-a972-649b41d9870e,4,0.0030882,2.59E-06,0.0026807,98.5181,1.47585,5.54E-05,0.000212471,happy,5,1,0,-10.6335
baa26895-85b2-465b-a972-649b41d9870e,5,0.442753,2.78E-06,2.15588,0.394626,18.1739,0.0399009,78.793,neutral,6,1,0,18.6988
baa26895-85b2-465b-a972-649b41d9870e,6,1.65652,7.78E-06,8.00771,0.146963,30.7158,0.243581,59.2294,neutral,7,1,0,20.3945
baa26895-85b2-465b-a972-649b41d9870e,7,0.106536,0.0894811,1.47668,55.0611,43.229,0.000771652,0.0363603,happy,8,1,0,22.1884
baa26895-85b2-465b-a972-649b41d9870e,8,0.449587,2.30E-05,0.218274,0.440017,6.0446,0.03354,92.814,neutral,9,0,0,43.4579
baa26895-85b2-465b-a972-649b41d9870e,9,1.37188,0.00925047,3.6687,77.8961,15.7475,0.0325381,1.274,happy,10,1,0,11.8566
